127.0.0.1 - - [21/Mar/2023:11:45:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "POST /Pharmacy/Login.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/Login.xhtml HTTP/1.1" 200 5604
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/watermark/watermark.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/RES_NOT_FOUND HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/components.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/core.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Mar/2023:11:46:53 +0530] "GET /Pharmacy/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
